year,id,undergrad_men,undergrad_women,undergrad,graduate_men,graduate_women,graduate,total_men,total_women,total,cat,school
2013,urbanst,7,8,15,0,0,0,7,8,15,socsci,school_hs
2013,school_law,0,0,0,357,292,649,357,292,649,dept,dept
2013,law,0,0,0,341,287,628,341,287,628,prof,school_law
2013,lawbiz,0,0,0,16,5,21,16,5,21,prof,school_law
2013,school_med,0,0,0,483,485,968,483,485,968,dept,dept
2013,bioc,0,0,0,27,14,41,27,14,41,prof,school_med
2013,biomedin,0,0,0,33,19,52,33,19,52,prof,school_med
2013,cbio,0,0,0,17,36,53,17,36,53,prof,school_med
2013,csb,0,0,0,24,15,39,24,15,39,prof,school_med
2013,dbio,0,0,0,13,13,26,13,13,26,prof,school_med
2013,epidem,0,0,0,9,13,22,9,13,22,prof,school_med
2013,gene,0,0,0,25,37,62,25,37,62,prof,school_med
2013,hrp,0,0,0,3,4,7,3,4,7,prof,school_med
2013,humgene,0,0,0,1,13,14,1,13,14,prof,school_med
2013,immunol,0,0,0,21,20,41,21,20,41,prof,school_med
2013,med,0,0,0,237,222,459,237,222,459,prof,school_med
2013,mi,0,0,0,12,24,36,12,24,36,prof,school_med
2013,nepr,0,0,0,35,42,77,35,42,77,prof,school_med
2013,mcp,0,0,0,7,7,14,7,7,14,prof,school_med
2013,stemrem,0,0,0,11,6,17,11,6,17,prof,school_med
2013,sbio,0,0,0,8,0,8,8,0,8,prof,school_med
2012,undeclared,1881,1685,3566,0,0,0,1881,1685,3566,aggr,misc
2012,total,3763,3443,7206,5706,3360,9066,9469,6803,16272,aggr,total
2012,school_biz,0,0,0,643,329,972,643,329,972,dept,dept
2012,business,0,0,0,580,310,890,580,310,890,prof,school_biz
2012,bizres,0,0,0,0,1,1,0,1,1,prof,school_biz
2012,management,0,0,0,63,18,81,63,18,81,prof,school_biz
2012,school_es,55,63,118,233,164,397,288,227,515,dept,dept
2012,eees,0,0,0,2,2,4,2,2,4,physci,school_es
2012,earthsys,42,54,96,7,19,26,49,73,122,inter,school_es
2012,ere,6,4,10,42,11,53,48,15,63,engr,school_es
2012,eess,0,0,0,23,24,47,23,24,47,physci,school_es
2012,ges,6,4,10,34,38,72,40,42,82,physci,school_es
2012,geophys,1,1,2,42,29,71,43,30,73,physci,school_es
2012,envres,0,0,0,49,31,80,49,31,80,inter,school_es
2012,petrolengr,0,0,0,34,10,44,34,10,44,engr,school_es
2012,school_educ,0,0,0,133,230,363,133,230,363,dept,dept
2012,educ,0,0,0,133,230,363,133,230,363,hum,school_educ
2012,school_engr,775,344,1119,2572,879,3451,3347,1223,4570,dept,dept
2012,aa,0,0,0,165,24,189,165,24,189,engr,school_engr
2012,bioe,0,0,0,66,43,109,66,43,109,engr,school_engr
2012,chemeng,42,18,60,90,45,135,132,63,195,engr,school_engr
2012,ce,26,16,42,0,0,0,26,16,42,engr,school_engr
2012,cee,0,0,0,243,194,437,243,194,437,engr,school_engr
2012,cme,0,0,0,94,19,113,94,19,113,engr,school_engr
2012,cs,285,75,360,398,86,484,683,161,844,engr,school_engr
2012,ee,77,18,95,704,192,896,781,210,991,engr,school_engr
2012,genengr,150,126,276,15,7,22,165,133,298,engr,school_engr
2012,enve,7,11,18,0,0,0,7,11,18,engr,school_engr
