year,id,undergrad_men,undergrad_women,undergrad,graduate_men,graduate_women,graduate,total_men,total_women,total,cat,school,undergrad_ratio,graduate_ratio,total_ratio,undergrad_men_percentage_of_declared,undergrad_women_percentage_of_declared,undergrad_percentage_of_declared,graduate_men_percentage_of_declared,graduate_women_percentage_of_declared,graduate_percentage_of_declared,total_men_percentage_of_declared,total_women_percentage_of_declared,total_percentage_of_declared
1977,comm,49,62,111,46,30,76,95,92,187,hum,school_hs,0.790322581,1.533333333,1.032608696,0.0231569,0.046199702,0.032099479,0.011681056,0.023696682,0.014604151,0.015692104,0.035276074,0.021588548
1977,complit,0,0,0,8,3,11,8,3,11,hum,school_hs,1,2.666666667,2.666666667,0,0,0,0.002031488,0.002369668,0.002113759,0.00132144,0.001150307,0.001269915
1977,complhum,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,cs,0,0,0,111,15,126,111,15,126,engr,school_engr,1,7.4,7.4,0,0,0,0.028186897,0.011848341,0.024212145,0.018334985,0.005751534,0.014546294
1977,drama,8,13,21,11,1,12,19,14,33,hum,school_hs,0.615384615,11,1.357142857,0.003780718,0.009687034,0.006072874,0.002793296,0.000789889,0.002305919,0.003138421,0.005368098,0.003809744
1977,dramahum,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,eastasn,3,3,6,10,10,20,13,13,26,hum,school_hs,1,1,1,0.001417769,0.002235469,0.001735107,0.00253936,0.007898894,0.003843198,0.002147341,0.004984663,0.003001616
1977,econ,322,92,414,70,18,88,392,110,502,socsci,school_hs,3.5,3.888888889,3.563636364,0.152173913,0.068554396,0.119722383,0.017775521,0.014218009,0.016910069,0.064750578,0.042177914,0.057954283
1977,english,92,111,203,38,32,70,130,143,273,hum,school_hs,0.828828829,1.1875,0.909090909,0.043478261,0.08271237,0.058704453,0.009649568,0.025276461,0.013451191,0.021473406,0.054831288,0.031516971
1977,enghum,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,engfrenlit,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,engitalit,0,2,2,0,0,0,0,2,2,hum,school_hs,0,1,0,0,0.001490313,0.000578369,0,0,0,0,0.000766871,0.000230894
1977,enggerlit,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,engspnlit,0,1,1,0,0,0,0,1,1,hum,school_hs,0,1,0,0,0.000745156,0.000289184,0,0,0,0,0.000383436,0.000115447
1977,foodres,0,0,0,23,6,29,23,6,29,physci,school_hs,1,3.833333333,3.833333333,0,0,0,0.005840528,0.004739336,0.005572636,0.003799141,0.002300613,0.003347957
1977,french,2,16,18,6,9,15,8,25,33,hum,school_hs,0.125,0.666666667,0.32,0.00094518,0.011922504,0.005205321,0.001523616,0.007109005,0.002882398,0.00132144,0.00958589,0.003809744
1977,italian,1,2,3,0,3,3,1,5,6,hum,school_hs,0.5,0,0.2,0.00047259,0.001490313,0.000867553,0,0.002369668,0.00057648,0.00016518,0.001917178,0.000692681
1977,frenchenglit,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,frenchitalit,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,frenchhum,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,german,9,8,17,4,15,19,13,23,36,hum,school_hs,1.125,0.266666667,0.565217391,0.004253308,0.005961252,0.004916136,0.001015744,0.011848341,0.003651038,0.002147341,0.008819018,0.004156084
1977,germanhum,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,history,113,71,184,42,36,78,155,107,262,hum,school_hs,1.591549296,1.166666667,1.448598131,0.053402647,0.05290611,0.053209948,0.010665312,0.028436019,0.01498847,0.025602907,0.041027607,0.030247056
1977,histhum,0,0,0,1,0,1,1,0,1,hum,school_hs,1,1,1,0,0,0,0.000253936,0,0.00019216,0.00016518,0,0.000115447
1977,humbio,93,131,224,0,0,0,93,131,224,inter,school_hs,0.709923664,1,0.709923664,0.043950851,0.097615499,0.064777328,0,0,0,0.015361744,0.050230061,0.025860079
1977,humlang,3,10,13,0,0,0,3,10,13,hum,school_hs,0.3,1,0.3,0.001417769,0.007451565,0.003759398,0,0,0,0.00049554,0.003834356,0.001500808
1977,humsp,8,7,15,1,1,2,9,8,17,hum,school_hs,1.142857143,1,1.125,0.003780718,0.005216095,0.004337767,0.000253936,0.000789889,0.00038432,0.00148662,0.003067485,0.001962595
1977,ir,27,54,81,0,0,0,27,54,81,socsci,school_hs,0.5,1,0.5,0.012759924,0.04023845,0.023423944,0,0,0,0.004459861,0.020705521,0.009351189
1977,italenglit,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,latinam,2,3,5,2,6,8,4,9,13,hum,school_hs,0.666666667,0.333333333,0.444444444,0.00094518,0.002235469,0.001445922,0.000507872,0.004739336,0.001537279,0.00066072,0.00345092,0.001500808
1977,linguist,0,0,0,7,11,18,7,11,18,socsci,school_hs,1,0.636363636,0.636363636,0,0,0,0.001777552,0.008688784,0.003458878,0.00115626,0.004217791,0.002078042
1977,mcs,33,15,48,4,0,4,37,15,52,math,school_hs,2.2,1,2.466666667,0.015595463,0.011177347,0.013880856,0.001015744,0,0.00076864,0.006111662,0.005751534,0.006003233
1977,math,22,9,31,53,7,60,75,16,91,math,school_hs,2.444444444,7.571428571,4.6875,0.010396975,0.006706408,0.008964719,0.013458608,0.005529226,0.011529593,0.012388503,0.006134969,0.010505657
1977,medieval,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,mtl,0,0,0,9,5,14,9,5,14,hum,school_hs,1,1.8,1.8,0,0,0,0.002285424,0.003949447,0.002690238,0.00148662,0.001917178,0.001616255
1977,mtl,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,music,30,41,71,30,22,52,60,63,123,hum,school_hs,0.731707317,1.363636364,0.952380952,0.014177694,0.030551416,0.020532099,0.00761808,0.017377567,0.009992314,0.009910803,0.024156442,0.014199954
1977,musichum,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,phil,22,4,26,19,6,25,41,10,51,hum,school_hs,5.5,3.166666667,4.1,0.010396975,0.002980626,0.007518797,0.004824784,0.004739336,0.004803997,0.006772382,0.003834356,0.005887786
1977,philhum,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,physicalsci,3,0,3,1,0,1,4,0,4,physci,school_hs,1,1,1,0.001417769,0,0.000867553,0.000253936,0,0.00019216,0.00066072,0,0.000461787
1977,physics,49,7,56,83,9,92,132,16,148,physci,school_hs,7,9.222222222,8.25,0.0231569,0.005216095,0.016194332,0.021076689,0.007109005,0.017678709,0.021803766,0.006134969,0.017086123
1977,polisci,137,63,200,35,14,49,172,77,249,socsci,school_hs,2.174603175,2.5,2.233766234,0.064744802,0.046944858,0.0578369,0.00888776,0.011058452,0.009415834,0.028410968,0.02952454,0.028746248
1977,psych,85,120,205,43,23,66,128,143,271,socsci,school_hs,0.708333333,1.869565217,0.895104895,0.040170132,0.089418778,0.059282822,0.010919248,0.018167457,0.012682552,0.021143046,0.054831288,0.031286077
1977,religst,9,6,15,6,5,11,15,11,26,hum,school_hs,1.5,1.2,1.363636364,0.004253308,0.004470939,0.004337767,0.001523616,0.003949447,0.002113759,0.002477701,0.004217791,0.003001616
1977,relighum,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,rees,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,slavic,5,1,6,2,5,7,7,6,13,hum,school_hs,5,0.4,1.166666667,0.002362949,0.000745156,0.001735107,0.000507872,0.003949447,0.001345119,0.00115626,0.002300613,0.001500808
1977,slavichum,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,socthink,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,soc,12,23,35,14,14,28,26,37,63,socsci,school_hs,0.52173913,1,0.702702703,0.005671078,0.017138599,0.010121457,0.003555104,0.011058452,0.005380477,0.004294681,0.014187117,0.007273147
1977,spanport,6,8,14,8,8,16,14,16,30,hum,school_hs,0.75,1,0.875,0.002835539,0.005961252,0.004048583,0.002031488,0.006319115,0.003074558,0.002312521,0.006134969,0.003463403
1977,spanhum,0,0,0,0,0,0,0,0,0,hum,school_hs,1,1,1,0,0,0,0,0,0,0,0,0
1977,stats,2,2,4,41,18,59,43,20,63,math,school_hs,1,2.277777778,2.15,0.00094518,0.001490313,0.001156738,0.010411376,0.014218009,0.011337433,0.007102742,0.007668712,0.007273147
1977,school_law,0,0,0,393,121,514,393,121,514,dept,dept,1,3.247933884,3.247933884,0,0,0,0.099796851,0.095576619,0.098770177,0.064915758,0.046395706,0.059339644
1977,law,0,0,0,372,120,492,372,120,492,prof,school_law,1,3.1,3.1,0,0,0,0.094464195,0.09478673,0.094542659,0.061446977,0.04601227,0.056799815
1977,lawbiz,0,0,0,21,1,22,21,1,22,prof,school_law,1,21,21,0,0,0,0.005332656,0.000789889,0.004227517,0.003468781,0.000383436,0.002539829
1977,school_med,6,7,13,304,176,480,310,183,493,dept,dept,0.857142857,1.727272727,1.693989071,0.002835539,0.005216095,0.003759398,0.077196546,0.139020537,0.092236741,0.051205814,0.070168712,0.056915262
1977,anatomy,0,0,0,0,0,0,0,0,0,prof,school_med,1,1,1,0,0,0,0,0,0,0,0,0
1977,bioc,0,0,0,12,1,13,12,1,13,prof,school_med,1,12,12,0,0,0,0.003047232,0.000789889,0.002498078,0.001982161,0.000383436,0.001500808
1977,gene,0,0,0,4,5,9,4,5,9,prof,school_med,1,0.8,0.8,0,0,0,0.001015744,0.003949447,0.001729439,0.00066072,0.001917178,0.001039021
1977,medmicrobio,6,7,13,7,9,16,13,16,29,prof,school_med,0.857142857,0.777777778,0.8125,0.002835539,0.005216095,0.003759398,0.001777552,0.007109005,0.003074558,0.002147341,0.006134969,0.003347957
1977,pharma,0,0,0,6,2,8,6,2,8,prof,school_med,1,3,3,0,0,0,0.001523616,0.001579779,0.001537279,0.00099108,0.000766871,0.000923574
1977,physio,0,0,0,4,1,5,4,1,5,prof,school_med,1,4,4,0,0,0,0.001015744,0.000789889,0.000960799,0.00066072,0.000383436,0.000577234
1977,med,0,0,0,249,113,362,249,113,362,prof,school_med,1,2.203539823,2.203539823,0,0,0,0.063230066,0.089257504,0.069561875,0.041129832,0.043328221,0.041791734
1977,hrp,0,0,0,0,0,0,0,0,0,prof,school_med,1,1,1,0,0,0,0,0,0,0,0,0
1977,hearspeech,0,0,0,3,1,4,3,1,4,prof,school_med,1,3,3,0,0,0,0.000761808,0.000789889,0.00076864,0.00049554,0.000383436,0.000461787
1977,nepr,0,0,0,6,5,11,6,5,11,prof,school_med,1,1.2,1.2,0,0,0,0.001523616,0.003949447,0.002113759,0.00099108,0.001917178,0.001269915
1977,phystherapy,0,0,0,13,39,52,13,39,52,prof,school_med,1,0.333333333,0.333333333,0,0,0,0.003301168,0.030805687,0.009992314,0.002147341,0.014953988,0.006003233
1977,unaffliated,4,5,9,7,0,7,11,5,16,dept,dept,0.8,1,2.2,0.001890359,0.003725782,0.00260266,0.001777552,0,0.001345119,0.001816981,0.001917178,0.001847148
1977,gradspec,0,0,0,7,0,7,7,0,7,inter,misc,1,1,1,0,0,0,0.001777552,0,0.001345119,0.00115626,0,0.000808127
1977,interdept,4,5,9,0,0,0,4,5,9,inter,misc,0.8,1,0.8,0.001890359,0.003725782,0.00260266,0,0,0,0.00066072,0.001917178,0.001039021
1977,declared,2116,1342,3458,3938,1266,5204,6054,2608,8662,aggr,misc,1.576751118,3.110584518,2.321319018,1,1,1,1,1,1,1,1,1
1976,undeclared,1399,1122,2521,0,0,0,1399,1122,2521,aggr,misc,1.24688057,1,1.24688057,0.574066475,0.759647935,0.644098109,0,0,0,0.216899225,0.409638554,0.274349766
1976,total,3836,2599,6435,4013,1262,5275,7849,3861,11710,aggr,total,1.475952289,3.179873217,2.032893033,1.574066475,1.759647935,1.644098109,1,1,1,1.216899225,1.409638554,1.274349766
1976,school_biz,0,0,0,563,143,706,563,143,706,dept,dept,1,3.937062937,3.937062937,0,0,0,0.140294044,0.113312203,0.133838863,0.087286822,0.052208835,0.076830994
1976,business,0,0,0,563,143,706,563,143,706,prof,school_biz,1,3.937062937,3.937062937,0,0,0,0.140294044,0.113312203,0.133838863,0.087286822,0.052208835,0.076830994
1976,school_es,63,37,100,155,28,183,218,65,283,dept,dept,1.702702703,5.535714286,3.353846154,0.025851457,0.025050779,0.02554931,0.03862447,0.022187005,0.034691943,0.03379845,0.023731289,0.030797693
1976,appes,19,20,39,41,7,48,60,27,87,engr,school_es,0.95,5.857142857,2.222222222,0.007796471,0.013540961,0.009964231,0.010216795,0.005546751,0.009099526,0.009302326,0.009857612,0.009467842
1976,geo,28,12,40,47,9,56,75,21,96,physci,school_es,2.333333333,5.222222222,3.571428571,0.011489536,0.008124577,0.010219724,0.011711936,0.007131537,0.010616114,0.011627907,0.007667032,0.010447274
1976,geophys,5,2,7,37,10,47,42,12,54,physci,school_es,2.5,3.7,3.5,0.002051703,0.001354096,0.001788452,0.009220035,0.00792393,0.008909953,0.006511628,0.004381161,0.005876592
1976,petrolengr,11,3,14,30,2,32,41,5,46,engr,school_es,3.666666667,15,8.2,0.004513746,0.002031144,0.003576903,0.007475704,0.001584786,0.006066351,0.006356589,0.001825484,0.005005985
1976,school_educ,0,0,0,205,271,476,205,271,476,dept,dept,1,0.756457565,0.756457565,0,0,0,0.051083977,0.21473851,0.090236967,0.031782946,0.098941219,0.051801066
1976,educ,0,0,0,205,271,476,205,271,476,hum,school_educ,1,0.756457565,0.756457565,0,0,0,0.051083977,0.21473851,0.090236967,0.031782946,0.098941219,0.051801066
1976,educbiz,0,0,0,0,0,0,0,0,0,hum,school_educ,1,1,1,0,0,0,0,0,0,0,0,0
1976,school_engr,721,177,898,1386,109,1495,2107,286,2393,dept,dept,4.073446328,12.71559633,7.367132867,0.29585556,0.119837508,0.229432805,0.345377523,0.08637084,0.283412322,0.326666667,0.104417671,0.260420067
1976,preengr,259,76,335,0,0,0,259,76,335,engr,school_engr,3.407894737,1,3.407894737,0.106278211,0.051455653,0.085590189,0,0,0,0.040155039,0.027747353,0.036456633
1976,aa,0,0,0,75,4,79,75,4,79,engr,school_engr,1,18.75,18.75,0,0,0,0.01868926,0.003169572,0.014976303,0.011627907,0.001460387,0.008597236
